mission,cohort1,assessment1,submission1,name1,cohort2,assessment2,submission2,name2,percent1,percent2,lines,url
dna_using_data_directed_programming,1935,39561,1085160,lisa_smith,1935,39561,1085437,ruben_thompson_jr.,70,70,76,http://moss.stanford.edu/results/6/3488540343360/match0.html
dna_using_data_directed_programming,1935,39561,1081661,allen_bailey,1935,39561,1082893,nicole_stewart,55,95,74,http://moss.stanford.edu/results/6/3488540343360/match1.html
dna_using_data_directed_programming,1935,39561,1085153,raymond_adams,1935,39561,1082893,nicole_stewart,45,80,66,http://moss.stanford.edu/results/6/3488540343360/match2.html
dna_using_data_directed_programming,1935,39561,1081661,allen_bailey,1935,39561,1085153,raymond_adams,46,45,68,http://moss.stanford.edu/results/6/3488540343360/match3.html
dna_using_data_directed_programming,1935,39561,1094475,ruben_mccoy_phd,1935,39561,1090647,tina_fields,54,53,52,http://moss.stanford.edu/results/6/3488540343360/match4.html
dna_using_data_directed_programming,1935,39561,1081160,amanda_jones,1935,39561,1080706,michael_brown,46,62,57,http://moss.stanford.edu/results/6/3488540343360/match5.html
dna_using_data_directed_programming,1935,39561,1080928,brandi_duncan,1935,39561,1091093,laurie_wallace,57,68,45,http://moss.stanford.edu/results/6/3488540343360/match6.html
dna_using_data_directed_programming,1935,39561,1085100,laura_phillips,1935,39561,1085981,nicholas_barrett,68,65,54,http://moss.stanford.edu/results/6/3488540343360/match7.html
dna_using_data_directed_programming,1935,39561,1086774,jamie_bennett,1935,39561,1081661,allen_bailey,52,36,45,http://moss.stanford.edu/results/6/3488540343360/match8.html
dna_using_data_directed_programming,1935,39561,1086774,jamie_bennett,1935,39561,1085329,christopher_marquez,50,58,51,http://moss.stanford.edu/results/6/3488540343360/match9.html
dna_using_data_directed_programming,1935,39561,1086774,jamie_bennett,1935,39561,1083610,christopher_anderson,50,59,51,http://moss.stanford.edu/results/6/3488540343360/match10.html
dna_using_data_directed_programming,1935,39561,1085100,laura_phillips,1935,39561,1080706,michael_brown,66,58,41,http://moss.stanford.edu/results/6/3488540343360/match11.html
dna_using_data_directed_programming,1935,39561,1083610,christopher_anderson,1935,39561,1085329,christopher_marquez,59,58,50,http://moss.stanford.edu/results/6/3488540343360/match12.html
dna_using_data_directed_programming,1935,39561,1080706,michael_brown,1935,39561,1085981,nicholas_barrett,58,63,42,http://moss.stanford.edu/results/6/3488540343360/match13.html
dna_using_data_directed_programming,1935,39561,1086774,jamie_bennett,1935,39561,1078077,thomas_harris,49,57,46,http://moss.stanford.edu/results/6/3488540343360/match14.html
dna_using_data_directed_programming,1935,39561,1081313,lisa_hoffman,1935,39561,1078001,casey_wilson,45,38,29,http://moss.stanford.edu/results/6/3488540343360/match15.html
dna_using_data_directed_programming,1935,39561,1083777,kevin_may,1935,39561,1083781,janet_foster,57,52,54,http://moss.stanford.edu/results/6/3488540343360/match16.html
dna_using_data_directed_programming,1935,39561,1077630,austin_morrison,1935,39561,1086588,david_washington,25,64,27,http://moss.stanford.edu/results/6/3488540343360/match17.html
dna_using_data_directed_programming,1935,39561,1086547,randy_rodriguez,1935,39561,1079753,jeremy_parks,46,67,27,http://moss.stanford.edu/results/6/3488540343360/match18.html
dna_using_data_directed_programming,1935,39561,1090613,eric_stone,1935,39561,1084989,luis_armstrong,68,65,33,http://moss.stanford.edu/results/6/3488540343360/match19.html
dna_using_data_directed_programming,1935,39561,1081160,amanda_jones,1935,39561,1085981,nicholas_barrett,41,58,42,http://moss.stanford.edu/results/6/3488540343360/match20.html
dna_using_data_directed_programming,1935,39561,1081160,amanda_jones,1935,39561,1085100,laura_phillips,41,61,41,http://moss.stanford.edu/results/6/3488540343360/match21.html
dna_using_data_directed_programming,1935,39561,1074912,lance_haynes,1935,39561,1075539,michael_powell,29,28,40,http://moss.stanford.edu/results/6/3488540343360/match22.html
dna_using_data_directed_programming,1935,39561,1074912,lance_haynes,1935,39561,1075696,brittney_harding,29,20,40,http://moss.stanford.edu/results/6/3488540343360/match23.html
dna_using_data_directed_programming,1935,39561,1089899,amy_fletcher,1935,39561,1078001,casey_wilson,45,35,30,http://moss.stanford.edu/results/6/3488540343360/match24.html
