NodeID1,NodeID2,edge_weights
aaron_christian,marc_key,0.011342575048417016
aaron_christian,joseph_trevino,0.007639996121435687
aaron_pope,annette_solis,0.0093241088977694
aaron_pope,carol_harris,0.017556607358931293
aaron_powell,jennifer_simmons,0.009838415538323476
aaron_powell,alicia_washington,0.030204981942816563
aaron_powell,ashley_johnson,0.02940489738477748
aaron_powell,jose_kennedy,0.012032808460154781
aaron_powell,pamela_gibbs,0.025030308052077548
aaron_powell,justin_young,0.03144611141643433
aaron_powell,rachel_hinton,0.009904667245291985
adam_french,robin_coleman,0.01900127120779555
adam_king,charles_white,0.018486171645836436
adam_king,brianna_wong,0.008374746847308084
adam_king,elizabeth_kennedy,0.00831872868331302
adam_king,brandy_sims,0.037175384014265046
adam_king,kristina_wilcox,0.03523202770966415
adam_king,william_cruz,0.033964413611621835
adrian_barnes_dds,kyle_wang,0.016587829808264072
adrian_barnes_dds,matthew_lang,0.00845938527812167
adrian_king,samuel_hayes,0.0057842180609139
adrian_king,tina_smith,0.015454706553121509
adrian_king,christine_robertson,0.1108050559663344
adrian_king,crystal_smith,0.01956145993445005
adrian_king,cynthia_dougherty,0.016307169592242224
adrian_pineda,diana_lee,0.010663552179477207
alan_williams,john_cuevas_md,0.010743499147223995
alan_williams,jennifer_washington,0.014966153546085145
alan_williams,franklin_carlson,0.011035821465323628
alan_williams,ronald_thomas,0.01026350403824072
alan_williams,sydney_wagner,0.02422753321112662
alan_williams,eduardo_shields,0.005524062045749644
albert_turner,heather_bird,0.00860261724394094
albert_turner,trevor_ford,0.020519852546113295
albert_turner,michelle_owens,0.007881482856355222
albert_turner,nicole_stewart,0.018307281459737413
albert_turner,john_stewart,0.0086605471082151
albert_turner,jerry_garcia,0.01905953175554995
albert_turner,raymond_allen,0.014868504494267113
albert_turner,rachel_martin,0.012656505577804506
albert_turner,rachel_wilson,0.031235770320942095
albert_turner,pamela_kelley,0.010992703786531501
albert_turner,jeremy_parks,0.011566654478074255
albert_turner,thomas_barnes,0.023944897437262875
albert_turner,traci_rowland,0.012058537730924659
alex_perez,laura_phillips,0.015056542196420414
alex_perez,debra_nolan_dds,0.014855791294506905
alex_perez,edward_collier,0.015615540399243363
alex_perez,jasmine_smith,0.015994026019571502
alexa_hernandez,alexander_wells,0.017502544786637406
alexa_hernandez,frank_burns,0.014260978193147198
alexa_hernandez,justin_young,0.016511269864985852
alexa_hernandez,james_webb,0.009761713417791466
alexa_hernandez,carl_rollins,0.021741301719801612
alexa_hernandez,sandra_thompson,0.019507129647147594
alexa_hernandez,timothy_tucker,0.043485759422288155
alexa_hernandez,joshua_hernandez,0.00967504229544188
alexander_perry,carolyn_campbell,0.012112090662753426
alexandra_chavez,cassandra_hernandez,0.015183618401543307
alexandria_jones,ashley_rogers,0.013442329835550264
alexandria_jones,kerry_johnson,0.015790959340730965
alexandria_jones,sierra_montoya,0.015897295366782985
alexandria_jones,joshua_hernandez,0.015685334589784276
alexandria_jones,eric_odom,0.00840317838301822
alexis_conrad,jessica_wade,0.008980307016845407
alexis_robinson,sandra_rivas,0.007817300105430563
alicia_walker,jack_lopez,0.011077220523481864
alicia_walker,michael_powell,0.014533600602650987
alicia_walker,michael_solomon,0.013730997870319245
alicia_walker,ronald_thomas,0.011003125680114346
alicia_walker,shari_butler,0.013277871442529433
alicia_walker,robert_myers,0.014631469598382418
alicia_walker,randy_wheeler,0.011882159080419065
alicia_walker,joseph_krause,0.011532385995968649
alicia_washington,justin_young,0.02786774600802446
alicia_washington,ashley_johnson,0.02920820984376984
alicia_washington,rodney_walker,0.013407005263687608
alison_moore,diana_stone,0.019436612751078674
alison_walker,alexander_munoz,0.022639956407040238
allen_bailey,raymond_adams,0.024859177882796808
allen_bailey,michelle_owens,0.008501718503912908
allen_bailey,gloria_murray_dvm,0.010842911659678219
allen_bailey,daniel_rangel,0.00907581858245397
allen_bailey,nicole_stewart,0.0265848394977932
allen_bailey,ronald_thomas,0.012952881538164237
allison_cummings,troy_hughes,0.02343008711884621
allison_cummings,monica_carr,0.0105419575603083
allison_greene,gary_evans,0.014865378194629485
amanda_curtis,jimmy_moore,0.00957781070291299
amanda_jones,donald_thomas,0.012877851462591077
amanda_jones,veronica_gibson,0.01049700095631481
amanda_morgan,christopher_mendoza,0.017346613745718564
amanda_morgan,karen_harris,0.010015257972373395
amanda_morgan,kevin_wade,0.008134920453776071
amanda_morgan,jonathan_snyder,0.02020411683951095
amanda_morgan,natalie_young,0.017230583318616273
amanda_murphy,carmen_lopez,0.012087900468722778
amanda_perry,david_rodriguez,0.007661478736753868
amanda_perry,john_zuniga,0.018200064965822865
amanda_perry,ryan_hartman,0.010589024914688475
amanda_perry,lauren_thomas_phd,0.007713070991851825
amanda_perry,tina_fields,0.04878282050027685
amanda_perry,brandi_duncan,0.010518195581571436
amanda_perry,dr._samuel_sharp_dds,0.010816560146518803
amanda_perry,nicole_stewart,0.014052822609796792
amanda_quinn,jeffrey_king,0.015492427220582796
amanda_quinn,stephanie_mosley,0.008316215978295302
amanda_quinn,matthew_rojas,0.011377372402056477
amanda_quinn,deborah_baker,0.032106157536662405
amanda_smith,bryan_george,0.00996992747425796
amanda_smith,sarah_wilkins,0.00990323924565181
amanda_smith,henry_poole,0.010037064780153294
amanda_smith,benjamin_cole,0.0092867728880215
amanda_spears,barbara_nunez,0.02293901311566675
amanda_spears,jasmine_smith,0.01850561111968008
amanda_thompson,allen_bailey,0.013441726103113161
amanda_walker,carl_rollins,0.009199789299926276
amanda_walker,cynthia_pena,0.009261740509701528
amanda_white,michael_price,0.007176834683382674
amanda_white,matthew_barnes,0.00960369734708546
amanda_white,ruben_mccoy_phd,0.00722516335445301
amanda_white,kevin_kelly,0.007273817469894084
amanda_white,anthony_stephens,0.008563346459140876
amanda_white,kevin_wade,0.008253874324635533
amanda_white,brian_elliott,0.0073227992212422256
amber_bennett,raymond_allen,0.017822349099130767
amber_bennett,albert_turner,0.021944289108382663
amber_bennett,trevor_ford,0.015375913558831797
amber_bennett,andrew_grimes,0.025607092002880635
amber_bennett,pamela_kelley,0.012404224867687252
amber_bennett,jerry_garcia,0.018430562352065655
amber_bennett,rachel_martin,0.021220121977342455
amber_bennett,paula_guerrero,0.023718305877408967
