name,y_pred,y_obs,y
john_estrada,0.018867603753505845,,0
scott_ross,0.01883803051587017,,0
jeremy_cooper,0.01818092372822577,,0
kaitlin_gregory,0.01785714285714287,,0
russell_ware,0.017857142857142853,,0
kurt_lopez,0.01754385964844071,,0
amy_fletcher,0.017438516800178102,,0
william_cruz,0.016806722688428366,,0
martin_king,0.016704199643816833,,0
randy_sullivan,0.01625937116411016,,1
cody_wright,0.015974049301182895,,0
david_clark,0.015344556565980197,,0
alison_moore,0.01515151515151517,,0
pamela_williams,0.014925161846686541,,0
crystal_montgomery,0.01492425076989718,,0
ian_garcia,0.01492363005400006,,0
rachel_jones,0.014908553488023191,,0
michael_rogers,0.014084510441405306,,0
david_chavez,0.012926606277754849,,0
samantha_wolf,0.01282051281928668,,0
jon_taylor,0.012658206719078972,,0
gary_evans,0.012197123010446865,,0
caitlin_reeves,0.012162146753466913,,0
charles_larsen,0.011695905929198908,,0
denise_brooks,0.011693899638360214,,0
melanie_patrick,0.01155326738257371,,0
raymond_navarro,0.01140684410646388,,0
kevin_jordan,0.01123593366790845,,0
justin_miller,0.011235404792009402,,0
gina_holloway,0.011234922527536544,,1
debra_hughes,0.011223239900454228,,1
erica_thomas,0.01030927732441177,,0
tricia_hamilton,0.009999999719529308,,0
shelly_craig,0.009901052832672815,,0
matthew_butler,0.009844501850595691,,0
jasmin_castro,0.009628610729023384,,0
debbie_bryan_md,0.008937500022065212,,0
victor_serrano,0.008921912548683813,,0
michael_guzman,0.00886881573702843,,0
patricia_foster,0.008849557520746842,,0
kelly_lewis,0.008849557202572755,,0
david_pitts,0.008849550304939896,,0
thomas_williams,0.008343265792610107,,0
jeff_ferguson,0.008343214784124902,,1
amanda_thompson,0.00834293122310216,,0
darrell_pineda,0.008016033296963708,,0
stephanie_johnson,0.007751937978947855,,0
hailey_solomon,0.00765706794921812,,0
melissa_mclean,0.007654319193863558,,0
jennifer_osborne,0.0076335877862595426,,0
sarah_kennedy,0.007533507394209416,,0
zachary_hernandez,0.006942428002004042,,0
angela_marshall,0.006837965075452312,,0
victoria_hernandez_md,0.006772009029345372,,0
nancy_payne,0.006753246953744679,,0
shane_hodges,0.0064498552010630655,,0
