name,year_of_study,participation,pe_percent,finals_percent,midterms_percent,afast,level_min_max,exp_min_max,t01_exp,t02_exp,t03_exp,t04_exp,t05_exp,t06_exp,t07_exp,t08_exp,t09_exp,t10_exp,num_videos,avg_videos_completion,confessed_assignments,num_confessed_assignments,batch_1821,batch_1935,batch_2023,major_-,major_Business Analytics,major_Chemistry,major_Computational Biology,major_Data Science and Analytics,major_Faculty of Arts & Social Sci,major_Faculty of Engineering,major_Faculty of Law,major_Faculty of Science,major_Life Sciences,major_Math/Applied Math,major_NUS Business School,major_Pharmacy,major_Physics,major_Quantitative Finance,major_School of Computing,major_School of Design & Environment,major_Statistics,major_Yong Loo Lin School (Medicine)
thomas_cox,1,3.5,1.0,0.79,,0,0.84,0.7903313206378696,260,240,260,275,275,275,275,275,275,275,27,0.9940000000000001,[''],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
peter_hester,1,3.5,0.7333333333333333,0.42,,0,1.04,1.0206559322908604,0,280,280,250,225,250,250,250,250,250,12,0.46299999999999997,[''],0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alexandria_lane,1,1.0,,,,0,-0.44,-0.1804071837745781,260,260,240,0,225,225,0,0,0,0,18,0.653,[''],0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
sherri_rogers,1,3.5,0.9,0.49,,0,0.96,0.9180084636424627,260,260,260,250,250,250,250,250,250,250,44,0.932,[''],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
brian_olsen,1,2.0,,,,1,0.52,0.39223047943438094,240,260,240,225,0,225,225,225,0,225,36,0.7190000000000001,[''],0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
dr._stephen_martin,2,3.5,0.33333333333333337,0.41,,0,0.84,0.7557542447231254,260,280,260,250,250,250,225,225,225,225,29,0.899,[''],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
noah_morrow,1,3.5,0.7333333333333333,0.53,,0,0.84,0.7807839190793209,260,260,260,250,250,250,250,250,250,275,9,0.63,[''],0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
mallory_benson,1,2.0,,,,1,0.56,0.42928471899674875,240,260,220,225,250,250,250,0,0,200,47,0.5429999999999999,[''],0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
colleen_wagner,1,2.5,0.7333333333333333,0.63,,0,0.96,0.9215177788099292,240,260,260,0,250,250,0,250,250,250,7,0.43,[''],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
sheila_medina,3,2.0,,,,1,0.56,0.4508050781854776,260,260,240,250,225,0,0,225,0,250,17,0.12300000000000001,[''],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
tricia_hamilton,2,2.5,0.03333333333333333,0.11,,1,-0.2,-0.09458378489962327,240,240,220,225,225,225,225,225,225,0,30,0.316,[''],0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
julie_simon,1,3.5,0.8333333333333333,0.42,,0,0.96,0.9296201682406977,0,260,260,250,250,250,250,250,250,250,44,0.02,[''],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
lisa_kelly,2,1.0,0.26666666666666666,0.36,,1,0.64,0.5165015224234918,240,240,240,225,0,0,0,250,0,0,30,0.7559999999999999,[''],0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
alexandria_jones,1,3.5,0.5666666666666667,0.28,,0,0.84,0.7484259689322392,220,240,240,250,225,200,225,225,225,225,4,0.588,[''],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
philip_matthews,2,3.5,0.2,0.2,,0,0.6,0.4833178510605357,220,240,240,250,275,250,250,250,250,250,58,0.5589999999999999,[''],0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
seth_mitchell,4,3.5,0.6,0.4,,0,0.88,0.8453966042214998,220,240,260,275,250,275,275,250,250,225,24,0.88,[''],0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
nicholas_simpson,1,2.5,0.33333333333333337,0.2,,0,0.52,0.3776771430045931,240,240,220,250,225,250,250,250,250,0,38,0.836,[''],0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
luis_robertson,4,3.5,0.33333333333333337,,,1,0.68,0.5591809877690045,260,260,260,250,250,250,275,250,250,250,41,0.633,[''],0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
kathy_ward,1,1.0,,,,0,-0.52,-0.21338442483356557,260,240,240,225,0,225,0,0,0,0,0,0.0,[''],0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
yvonne_friedman,1,3.0,0.43333333333333335,0.28,,1,0.84,0.7639082417298859,260,260,220,225,225,225,250,250,250,250,13,0.244,[''],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ronald_ward,1,4.0,0.43333333333333335,0.07,,1,0.92,0.8819347680239459,240,240,240,250,275,250,250,250,250,250,57,0.7,[''],0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
robert_lopez,3,2.5,0.5333333333333333,0.45,,0,0.8,0.7004309232595345,240,240,260,225,225,225,225,0,225,225,67,0.642,['ippt'],1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
